流水号,平台用户编号,金额
268103232557417529,117894,178.41
268103232557417530,116627,490.14
268103232557417531,112489,28.28
268103232557417532,109780,765.63
268103232557417533,111332,154.68
268103232557417534,113735,25024.55
268103232557417535,111334,93.94
268103232557417536,116642,815.42
268103232557417537,119013,207.21
268103232557417538,119014,309.80
268103232557417539,112495,5.88
268103232557417540,117911,48.84
268103232557417541,115412,52842.91
268103232557417542,116653,106.73
268103232557417543,10907,216.96
268103232557417544,117920,786.79
268103232557417545,111344,92.57
268103232557417546,116654,50.00
268103232557417547,109075,615.96
268103232557417548,115422,1.79
268103232557417549,115428,313.59
268103232557417550,111352,53.06
268103232557417551,119034,292.79
268103232557417552,111353,3347.33
268103232557417553,117933,3117.58
268103232565806084,109098,130.82
268103232565806085,116680,11189.26
268103232565806086,117936,45.35
268103232565806087,119043,60455.47
268103232565806088,116689,913.85
268103232565806089,119051,774.56
268103232565806090,111366,214.89
268103232565806091,117961,14953.48
268103232565806092,110521,50.00
268103232565806093,109818,77.73
268103232565806094,119059,46851.56
268103232565806095,116704,346.86
268103232565806096,109117,25804.87
268103232565806097,1180,147.67
268103232565806098,1114,515.55
268103232565806099,111400,161.56
268103232565806100,112540,35452.91
268103232565806101,110532,9.74
268103232565806102,116783,20787.09
268103232565806103,110535,1.28
268103232565806104,111407,707.41
268103232565806105,113792,5.94
268103232565806106,116785,156.39
268103232565806107,110537,1591.43
268103232565806108,111424,48.89
268103232565806109,116792,384.00
268103232565806110,109846,309.08
268103232565806111,116796,2643.81
268103232565806112,118033,285.19
268103232565806113,115489,0.13
268103232565806114,109151,87.47
268103232565806115,113812,1686.03
268103232565806116,118040,1403.03
268103232565806117,118046,100.00
268103232565806118,111434,35.24
268103232565806119,110558,236.88
268103232565806120,119112,134.98
268103232565806121,116815,368.34
268103232565806122,118067,14.65
268103232565806123,115507,26865.47
268103232565806124,115521,104.72
268103232565806125,110569,197.33
268103232565806126,115522,170.34
268103232565806127,118103,0.61
268103232565806128,110578,91026.50
268103232565806129,10987,1912.15
268103232565806130,119133,500.75
268103232565806131,115544,282.96
268103232565806132,115546,14.08
268103232565806133,111463,402.68
268103232565806134,119137,473.17
268103232565806135,110585,1332.48
268103232565806136,111473,5.49
268103232565806137,116858,88.18
268103232565806138,118149,0.17
268103232565806139,119150,25357.47
268103232565806140,118157,858.62
268103232565806141,111480,229.75
268103232565806142,118162,10670.80
268103232565806143,112594,312.45
268103232565806144,110595,17.11
268103232565806145,118165,336.14
268103232565806146,111489,326.28
268103232565806147,11060,657.09
268103232565806148,109195,43.88
268103232565806149,115609,1143.46
268103232565806150,115611,375.73
268103232565806151,10920,2746.81
268103232565806152,118185,294.19
268103232565806153,109895,473.96
268103232565806154,109201,1380.23
268103232565806155,119174,401.05
268103232565806156,115621,3188.04
268103232574194691,119177,33.01
268103232574194692,119178,43541.56
268103232574194693,113871,415.81
268103232574194694,109902,122232.46
268103232574194695,118203,204.52
268103232574194696,119184,1858.07
268103232574194697,11062,194.37
268103232574194698,10991,134.58
268103232574194699,110624,78750.56
268103232574194700,109917,23.16
268103232574194701,109223,11207.12
268103232574194702,118224,32229.17
268103232574194703,115654,299.48
268103232574194704,115655,12650.56
268103232574194705,110630,100.77
268103232574194706,11155,108391.70
268103232574194707,110634,62.95
268103232574194708,119211,116.53
268103232574194709,111559,1837.89
268103232574194711,11156,52323.22
268103232574194712,116923,7.25
268103232574194713,110640,17.12
268103232574194714,119217,434.83
268103232574194715,118252,62.79
268103232574194716,118259,1090.66
268103232574194717,11158,2427.86
268103232574194718,109940,795.61
268103232574194719,111580,508.65
268103232574194720,116936,5.00
268103232574194721,110655,1529.07
268103232574194722,119225,4872.13
268103232574194723,115732,1540.09
268103232574194724,118265,0.55
268103232574194725,111590,1745.26
268103232574194726,116950,5556.87
268103232574194727,118269,636.16
268103232574194728,109249,132.53
268103232574194729,115745,46683.68
268103232574194730,115756,223.70
268103232574194731,109253,98.56
268103232574194732,116957,537.22
268103232574194733,119252,383.14
268103232574194734,115774,19806.46
268103232574194735,112678,3.42
268103232574194736,115792,299.38
268103232574194737,119263,6135.60
268103232574194738,115797,8824.84
268103232574194739,112681,14261.53
268103232574194740,109267,183.79
268103232574194741,119274,152.49
268103232574194742,119277,2056.39
268103232574194743,118301,111050.81
268103232574194744,109276,102.44
268103232574194745,115857,168588.34
268103232574194746,111623,1652.98
268103232574194747,11401,1128.01
268103232574194748,119286,154454.56
268103232574194749,109969,30.65
268103232574194750,111626,643.47
268103232574194751,119291,1240.82
268103232574194752,111627,2745.61
268103232574194753,119292,43.64
268103232582583305,11402,6511.29
268103232582583306,110701,644.36
268103232582583307,114022,388.97
268103232582583308,114025,152674.44
268103232582583309,116999,2419.95
268103232582583310,119302,789.20
268103232582583311,112716,9.57
268103232582583312,111640,24.02
268103232582583313,1170,2808.69
268103232582583314,109299,112484.11
268103232582583315,115904,600.02
268103232582583316,110717,482.06
268103232582583317,117000,344.44
268103232582583318,110721,517.97
268103232582583319,114039,21.32
268103232582583320,114044,1134.16
268103232582583321,118342,26107.78
268103232582583322,11165,123.90
268103232582583323,117004,20121.84
268103232582583324,115921,27.46
268103232582583325,110725,11448.29
268103232582583326,118344,123.42
